metric,estimate,lower_95,upper_95,n_clusters
continuations.horizons.1.effects_nats.full_difference,2.7031089794181753,1.5799376622220735,3.889497586726793,32
continuations.horizons.1.effects_nats.interaction,0.12687217915663496,-0.11696849778527393,0.3881242211034987,32
continuations.horizons.1.effects_nats.kv_effect,2.7574384288454894,1.6957181432844664,3.8600141057555444,32
continuations.horizons.1.effects_nats.kv_effect_at_RA,2.694002339267172,1.6227794176971657,3.813198094032122,32
continuations.horizons.1.effects_nats.kv_effect_at_RB,2.820874518423807,1.7609621602590777,3.921006147761363,32
continuations.horizons.1.effects_nats.recurrent_effect,-0.0543294494273141,-0.24047200734712532,0.13912045179895338,32
continuations.horizons.1.effects_nats.recurrent_effect_at_KA,-0.11776553900563158,-0.35554965159026325,0.11437237851932877,32
continuations.horizons.1.effects_nats.recurrent_effect_at_KB,0.009106640151003376,-0.2123497357715678,0.22620136643599834,32
continuations.horizons.1.full_balanced_legal_candidate_accuracy,0.65625,0.546875,0.765625,32
continuations.horizons.1.full_square_probe_accuracy,0.810302734375,0.78662109375,0.83251953125,32
continuations.horizons.1.full_exact_board_probe_accuracy,0.0,0.0,0.0,32
continuations.horizons.1.changed_squares_current_prediction_accuracy,0.6484375,0.5703125,0.7265625,32
continuations.horizons.1.changed_squares_static_horizon_zero_prediction_accuracy,0.078125,0.0234375,0.1484375,32
continuations.horizons.1.untouched_differing_squares_b_agreement.BA_recurrent_from_B,0.3945035964520316,0.35352361348839856,0.43556957374486593,32
continuations.horizons.1.untouched_differing_squares_b_agreement.AB_kv_from_B,0.5104802154681045,0.459625445099352,0.5628877215134073,32
continuations.horizons.1.untouched_differing_squares_neither.BA_recurrent_from_B,0.10205836238754465,0.08062425194515949,0.12600408866452123,32
continuations.horizons.1.untouched_differing_squares_neither.AB_kv_from_B,0.0947991196757664,0.07507133394021895,0.11509345400744854,32
continuations.horizons.2.effects_nats.channel_contrast,2.7123058240977116,1.9846762583285453,3.4778377839917085,32
continuations.horizons.2.effects_nats.full_difference,2.8158294042223133,2.0299934447946724,3.6547681460477177,32
continuations.horizons.2.effects_nats.interaction,0.0191308103967458,-0.14146209192695097,0.19103743913583424,32
continuations.horizons.2.effects_nats.kv_effect,2.7640676141600125,2.0207185715175,3.5505575587536438,32
continuations.horizons.2.effects_nats.kv_effect_at_RA,2.7545022089616396,2.0069514906499535,3.5485277670770303,32
continuations.horizons.2.effects_nats.kv_effect_at_RB,2.7736330193583854,2.03062718117435,3.556118637560575,32
continuations.horizons.2.effects_nats.recurrent_effect,0.05176179006230086,-0.11142955329560209,0.21498551263939586,32
continuations.horizons.2.effects_nats.recurrent_effect_at_KA,0.04219638486392796,-0.15782297255937008,0.24334618679131378,32
continuations.horizons.2.effects_nats.recurrent_effect_at_KB,0.06132719526067376,-0.10107788486639038,0.22065058750740707,32
continuations.horizons.2.full_balanced_legal_candidate_accuracy,0.75,0.65625,0.84375,32
continuations.horizons.2.full_square_probe_accuracy,0.801025390625,0.776611328125,0.824462890625,32
continuations.horizons.2.full_exact_board_probe_accuracy,0.0,0.0,0.0,32
continuations.horizons.2.changed_squares_current_prediction_accuracy,0.6451822916666666,0.5807291666666667,0.7096354166666666,32
continuations.horizons.2.changed_squares_static_horizon_zero_prediction_accuracy,0.10026041666666666,0.05989583333333333,0.14583333333333334,32
continuations.horizons.2.untouched_differing_squares_b_agreement.BA_recurrent_from_B,0.37793277603249387,0.3351522118608877,0.42216465787634727,32
continuations.horizons.2.untouched_differing_squares_b_agreement.AB_kv_from_B,0.4808397029378306,0.43631424271505287,0.5271538753640888,32
continuations.horizons.2.untouched_differing_squares_neither.BA_recurrent_from_B,0.09875197806829819,0.07707881398987632,0.12032555067285311,32
continuations.horizons.2.untouched_differing_squares_neither.AB_kv_from_B,0.09424640488656297,0.07145219918733059,0.1164077089567624,32
continuations.horizons.4.effects_nats.channel_contrast,3.5826866434072144,2.641458210741985,4.57294477634714,32
continuations.horizons.4.effects_nats.full_difference,4.014146375149721,2.961636369660846,5.109915100198122,32
continuations.horizons.4.effects_nats.interaction,0.1433261433558073,-0.022123659982025853,0.3269022600026801,32
continuations.horizons.4.effects_nats.kv_effect,3.798416509278468,2.8165678008183024,4.826214871405681,32
continuations.horizons.4.effects_nats.kv_effect_at_RA,3.726753437600564,2.7136425946198868,4.789607908052857,32
continuations.horizons.4.effects_nats.kv_effect_at_RB,3.8700795809563715,2.9090531415407894,4.8674698330432875,32
continuations.horizons.4.effects_nats.recurrent_effect,0.21572986587125342,0.056632484877263786,0.3718742444685631,32
continuations.horizons.4.effects_nats.recurrent_effect_at_KA,0.14406679419334978,-0.03345739403157495,0.3194554376619635,32
continuations.horizons.4.effects_nats.recurrent_effect_at_KB,0.28739293754915707,0.10974574500069138,0.4768005388279561,32
continuations.horizons.4.full_balanced_legal_candidate_accuracy,0.71875,0.640625,0.796875,32
continuations.horizons.4.full_square_probe_accuracy,0.763427734375,0.738519287109375,0.7880859375,32
continuations.horizons.4.full_exact_board_probe_accuracy,0.0,0.0,0.0,32
continuations.horizons.4.changed_squares_current_prediction_accuracy,0.6117424242424242,0.5425133167613637,0.681572237441378,32
continuations.horizons.4.changed_squares_static_horizon_zero_prediction_accuracy,0.09594550414862915,0.05616921164772728,0.14400516042117603,32
continuations.horizons.4.untouched_differing_squares_b_agreement.BA_recurrent_from_B,0.3837672731756514,0.3451815338630341,0.421819751253223,32
continuations.horizons.4.untouched_differing_squares_b_agreement.AB_kv_from_B,0.47873975401793634,0.4374802401528295,0.5175451061621487,32
continuations.horizons.4.untouched_differing_squares_neither.BA_recurrent_from_B,0.10863506205717949,0.08963084825789217,0.12864685346179852,32
continuations.horizons.4.untouched_differing_squares_neither.AB_kv_from_B,0.09636672568385043,0.0746173419275569,0.11996947070232358,32
